"","vfinx","presx","hlemx","vbllx","fshbx","vpacx"
"Jun 2010",82.471527,9.903552,34.56942,8.848519,7.803915,7.382913
"Jul 2010",88.691841,11.247424,38.11478,8.93498,7.84563,7.91553
"Aug 2010",84.674263,10.759521,37.38213,9.45242,7.878145,7.727066
"Sep 2010",91.757385,12.086272,41.458038,9.345562,7.908851,8.325237
"Oct 2010",95.716064,12.771047,42.190689,9.136248,7.939601,8.513704
"Nov 2010",95.716064,11.87228,41.348557,9.014026,7.921881,8.54648
"Dec 2010",101.667587,12.839524,43.622311,8.759479,7.903199,8.907022
"Jan 2011",104.50753,13.405645,42.741661,8.689858,7.936915,9.1682
"Feb 2011",108.077805,13.876937,41.228161,8.823653,7.936916,9.54
"Mar 2011",107.65464,14.025307,43.054512,8.806619,7.936927,8.982303
"Apr 2011",111.296661,15.186082,44.694847,9.024514,7.98389,9.261152
"May 2011",110.021873,14.775883,43.375809,9.286981,8.022447,9.016104
"Jun 2011",107.693588,14.42678,42.640202,9.107965,8.013974,9.066801
"Jul 2011",105.966339,13.850754,42.716297,9.500964,8.050734,9.1851
"Aug 2011",100.194908,12.497972,39.833031,9.920588,8.049807,8.576704
"Sep 2011",92.64492,11.040455,33.931213,10.57637,8.029967,7.84156
"Oct 2011",103.286041,12.410695,38.192696,10.554074,8.049845,8.230256
"Nov 2011",103.044685,12.122684,37.000492,10.463851,8.029968,8.128857
"Dec 2011",103.509514,11.564115,35.825207,10.716917,8.047025,7.655661
"Jan 2012",108.745857,12.534794,39.395737,10.945103,8.105876,8.437761
"Feb 2012",113.429382,13.430775,41.518559,10.890639,8.103984,8.804239
"Mar 2012",116.665573,13.556213,41.85957,10.55035,8.113488,8.830415
"Apr 2012",116.403778,13.403897,41.27132,10.914426,8.130611,8.647176
"May 2012",109.398773,11.898645,37.136517,11.436724,8.128706,7.800782
"Jun 2012",113.334572,12.633351,39.012096,11.373372,8.145878,8.3156
"Jul 2012",115.458321,12.758789,39.404266,11.890128,8.182156,8.271971
"Aug 2012",118.043785,13.296379,39.600349,11.826183,8.208914,8.350502
"Sep 2012",120.502281,13.75333,41.689068,11.730186,8.225183,8.394131
"Oct 2012",118.833542,13.860848,42.234684,11.849483,8.231894,8.522761
"Nov 2012",119.499016,14.183402,42.277317,11.873099,8.238604,8.717468
"Dec 2012",119.75425,14.371558,41.322472,11.579278,8.244354,8.974122
"Jan 2013",126.810417,15.309493,44.679073,11.469294,8.251071,9.427799
"Feb 2013",128.508377,15.245625,43.907173,11.584647,8.256834,9.625899
"Mar 2013",132.720978,15.282121,43.734634,11.546408,8.262598,9.950065
"Apr 2013",135.852188,16.094128,44.769886,11.999411,8.277978,10.51046
"May 2013",139.01413,16.176239,43.734634,11.367683,8.264515,9.716538
"Jun 2013",136.488266,15.765676,41.346306,10.843894,8.230816,9.581208
"Jul 2013",144.094437,17.042988,42.272575,10.816255,8.245265,9.858793
"Aug 2013",139.898544,16.760153,40.928574,10.654305,8.241411,9.704322
"Sep 2013",143.584991,17.946228,43.83453,10.738608,8.275169,10.503933
"Oct 2013",150.877274,18.995447,46.095722,10.958189,8.290608,10.71683
"Nov 2013",155.446472,19.187048,45.460049,10.785754,8.30703,10.707717
"Dec 2013",158.536041,19.57024,44.288586,10.689284,8.293499,10.580135
"Jan 2014",153.830139,19.310755,42.562786,11.198268,8.318647,10.116226
"Feb 2014",160.845795,20.622776,44.631222,11.362528,8.335104,10.448511
"Mar 2014",161.481918,20.373306,46.182549,11.436626,8.321544,10.420822
"Apr 2014",163.343079,20.57658,46.51162,11.680488,8.338022,10.410386
"May 2014",167.157074,20.595058,48.683475,11.977192,8.364222,10.743221
"Jun 2014",169.871933,20.382547,49.247597,11.993889,8.36131,10.965114
"Jul 2014",168.220444,19.550983,49.134769,12.035517,8.348671,11.11836
"Aug 2014",174.927734,19.550983,50.037361,12.460224,8.364236,11.099736
"Sep 2014",171.682571,18.608545,46.906498,12.147846,8.360341,10.550336
"Oct 2014",176.625717,18.506912,47.837299,12.395031,8.375927,10.845075
"Nov 2014",181.36351,19.153683,47.950119,12.62613,8.392489,10.480139
"Dec 2014",179.932693,18.340597,42.863651,12.821513,8.369085,10.105849
"Jan 2015",175.454269,18.785105,45.543591,13.67971,8.414967,10.403713
"Feb 2015",185.514511,19.912777,46.314678,13.189584,8.402274,10.990104
"Mar 2015",181.684784,19.395926,45.741306,13.247918,8.417923,11.018477
"Apr 2015",184.298599,20.044338,47.926056,12.948893,8.425754,11.479315
"May 2015",186.643967,20.1759,46.700226,12.670779,8.432601,11.384604
"Jun 2015",182.23082,19.743626,45.869823,12.228313,8.419859,11.072046
"Jul 2015",186.839569,20.204092,43.942104,12.556072,8.426719,11.04246
"Aug 2015",175.551498,19.07642,39.859295,12.369591,8.423772,10.212846
"Sep 2015",170.320892,18.437408,38.732319,12.515949,8.440476,9.745592
"Oct 2015",185.583099,19.273762,41.539871,12.586545,8.446378,10.512733
"Nov 2015",186.114578,18.982449,40.590839,12.527884,8.443423,10.484035
"Dec 2015",182.123825,18.183681,38.771862,12.373343,8.419789,10.330983
"Jan 2016",174.018311,17.529173,36.978149,12.682194,8.461207,9.843835
"Feb 2016",173.765671,16.859823,36.948326,12.934882,8.470101,9.495723
"Mar 2016",184.599304,17.926901,41.530834,13.318235,8.504675,10.220956
"Apr 2016",186.236588,18.247025,41.988094,13.496478,8.52049,10.326617
"May 2016",189.557022,18.363434,41.143162,13.510922,8.517521,10.375053
"Jun 2016",189.13707,17.179947,43.002007,14.20646,8.572957,10.307242
